Date,Open,High,Low,Close
08 December 2014,6742.8,6742.8,6672.2,6672.2
09 December 2014,6672.2,6672.2,6529.5,6529.5
10 December 2014,6529.5,6565.8,6500,6500
11 December 2014,6500,6521.7,6441.3,6461.7
12 December 2014,6461.7,6461.7,6297.4,6300.6
15 December 2014,6300.6,6356.3,6182.7,6182.7
16 December 2014,6182.7,6331.8,6144.7,6331.8
17 December 2014,6331.8,6359.7,6240.3,6336.5
18 December 2014,6336.5,6466,6336.5,6466
19 December 2014,6466,6566.9,6466,6545.3
22 December 2014,6545.3,6621,6545.3,6576.7
23 December 2014,6576.7,6620.5,6576.7,6598.2
24 December 2014,6598.2,6618.1,6586.1,6609.9
